entity_name,region,value,gender
Libya,Africa,7381023,total
Liechtenstein,Europe,20097,male
Liechtenstein,Europe,20353,female
Liechtenstein,Europe,40450,total
Lithuania,Europe,1363259,male
Lithuania,Europe,1525019,female
Lithuania,Europe,2888278,total
Luxembourg,Europe,340763,male
Luxembourg,Europe,336249,female
Luxembourg,Europe,677012,total
"Macao SAR, China",Asia,316372,male
"Macao SAR, China",Asia,370628,female
"Macao SAR, China",Asia,687000,total
Madagascar,Africa,16032529,male
Madagascar,Africa,15932427,female
Madagascar,Africa,31964956,total
Malawi,Africa,10567044,male
Malawi,Africa,11088242,female
Malawi,Africa,21655286,total
Malaysia,Asia,18617794,male
Malaysia,Asia,16939879,female
Malaysia,Asia,35557673,total
Maldives,Asia,326805,male
Maldives,Asia,200994,female
Maldives,Asia,527799,total
Mali,Africa,12350772,male
Mali,Africa,12127823,female
Mali,Africa,24478595,total
Malta,Europe,295225,male
Malta,Europe,273622,female
Malta,Europe,568847,total
Marshall Islands,Oceania,19237,male
Marshall Islands,Oceania,18311,female
Marshall Islands,Oceania,37548,total
Mauritania,Africa,2535726,male
Mauritania,Africa,2633669,female
Mauritania,Africa,5169395,total
Mauritius,Africa,621840,male
Mauritius,Africa,623939,female
Mauritius,Africa,1245779,total
Mexico,Americas,63459580,male
Mexico,Americas,67401427,female
Mexico,Americas,130861007,total
"Micronesia, Fed. Sts.",Oceania,56217,male
"Micronesia, Fed. Sts.",Oceania,56943,female
"Micronesia, Fed. Sts.",Oceania,113160,total
Moldova,Europe,1105338,male
Moldova,Europe,1296968,female
Moldova,Europe,2402306,total
Monaco,Europe,18900,male
Monaco,Europe,19731,female
Monaco,Europe,38631,total
Mongolia,Asia,1757365,male
Mongolia,Asia,1767423,female
Mongolia,Asia,3524788,total
Montenegro,Europe,300103,male
Montenegro,Europe,323422,female
Montenegro,Europe,623525,total
Morocco,Africa,19202022,male
Morocco,Africa,18879151,female
Morocco,Africa,38081173,total
Mozambique,Africa,16802082,male
Mozambique,Africa,17829684,female
Mozambique,Africa,34631766,total
Myanmar,Asia,27128841,male
Myanmar,Asia,27371250,female
Myanmar,Asia,54500091,total
Namibia,Africa,1479806,male
Namibia,Africa,1550325,female
Namibia,Africa,3030131,total
Nauru,Oceania,6083,male
Nauru,Oceania,5864,female
Nauru,Oceania,11947,total
Nepal,Asia,14200276,male
Nepal,Asia,15450778,female
Nepal,Asia,29651054,total
Netherlands,Europe,8939104,male
Netherlands,Europe,9054381,female
Netherlands,Europe,17993485,total
New Caledonia,Oceania,144353,male
New Caledonia,Oceania,148286,female
New Caledonia,Oceania,292639,total
New Zealand,Oceania,2627144,male
New Zealand,Oceania,2660356,female
New Zealand,Oceania,5287500,total
Nicaragua,Americas,3401957,male
Nicaragua,Americas,3514183,female
Nicaragua,Americas,6916140,total
Niger,Africa,13725328,male
Niger,Africa,13307084,female
Niger,Africa,27032412,total
Nigeria,Africa,117673771,male
Nigeria,Africa,115005707,female
Nigeria,Africa,232679478,total
North Macedonia,Europe,887506,male
North Macedonia,Europe,936853,female
North Macedonia,Europe,1824359,total
Northern Mariana Islands,Oceania,23379,male
Northern Mariana Islands,Oceania,20899,female
Northern Mariana Islands,Oceania,44278,total
Norway,Europe,2808199,male
Norway,Europe,2764080,female
Norway,Europe,5572279,total
Oman,Asia,3285829,male
Oman,Asia,1995709,female
Oman,Asia,5281538,total
Pakistan,Asia,127433406,male
Pakistan,Asia,123835758,female
Pakistan,Asia,251269164,total
Palau,Oceania,9530,male
Palau,Oceania,8165,female
Palau,Oceania,17695,total
Panama,Americas,2258004,male
Panama,Americas,2257573,female
Panama,Americas,4515577,total
Papua New Guinea,Oceania,5439223,male
Papua New Guinea,Oceania,5137279,female
